code,description,label
6C4C.1Z,"Patrón nocivo de uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación","6C4C.1Z - Patrón nocivo de uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación"
6C4C.2,"Dependencia de la MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.2 - Dependencia de la MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.20,"Dependencia de MDMA o drogas relacionadas, incluida la MDA, uso actual","6C4C.20 - Dependencia de MDMA o drogas relacionadas, incluida la MDA, uso actual"
6C4C.21,"Dependencia de MDMA o drogas relacionadas, incluida la MDA, remisión completa temprana","6C4C.21 - Dependencia de MDMA o drogas relacionadas, incluida la MDA, remisión completa temprana"
6C4C.22,"Dependencia a MDMA o drogas relacionadas, incluyendo MDA, remisión parcial prolongada","6C4C.22 - Dependencia a MDMA o drogas relacionadas, incluyendo MDA, remisión parcial prolongada"
6C4C.23,"Dependencia a MDMA o drogas relacionadas, incluyendo la MDA, la remisión completa prolongada","6C4C.23 - Dependencia a MDMA o drogas relacionadas, incluyendo la MDA, la remisión completa prolongada"
6C4C.2Z,"Dependencia de la MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación","6C4C.2Z - Dependencia de la MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación"
6C4C.3,"Intoxicación por metilendioximetanfetamina (MDMA) o drogas relacionadas, incluida la metilendioxianfetamina (MDA)","6C4C.3 - Intoxicación por metilendioximetanfetamina (MDMA) o drogas relacionadas, incluida la metilendioxianfetamina (MDA)"
6C4C.4,"Síndrome de abstinencia de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.4 - Síndrome de abstinencia de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.5,"Delirium inducido por MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.5 - Delirium inducido por MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.6,"Trastorno psicótico inducido por MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.6 - Trastorno psicótico inducido por MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.7,Ciertos trastornos mentales o del comportamiento especificados inducidos por la MDMA o drogas relacionadas incluida la MDA,6C4C.7 - Ciertos trastornos mentales o del comportamiento especificados inducidos por la MDMA o drogas relacionadas incluida la MDA
6C4C.70,"Trastorno del estado de ánimo inducido por MDMA o drogas relacionadas, incluida la MDA","6C4C.70 - Trastorno del estado de ánimo inducido por MDMA o drogas relacionadas, incluida la MDA"
6C4C.71,Trastorno de ansiedad inducido por MDMA o drogas relacionadas,6C4C.71 - Trastorno de ansiedad inducido por MDMA o drogas relacionadas
6C4C.Y,"Otros trastornos especificados debidos al consumo de [metilendioximetanfetamina] MDMA o drogas relacionadas, incluida la MDA","6C4C.Y - Otros trastornos especificados debidos al consumo de [metilendioximetanfetamina] MDMA o drogas relacionadas, incluida la MDA"
6C4C.Z,"Trastornos debidos al uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación","6C4C.Z - Trastornos debidos al uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA, sin especificación"
6C4D,"Trastornos debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D - Trastornos debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.0,"Episodio de uso nocivo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.0 - Episodio de uso nocivo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.1,"Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.1 - Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.10,"Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], episódico","6C4D.10 - Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], episódico"
6C4D.11,"Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], continuo","6C4D.11 - Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], continuo"
6C4D.1Z,"Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación","6C4D.1Z - Patrón nocivo de consumo de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación"
6C4D.2,"Dependencia de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.2 - Dependencia de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.20,"Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], consumo actual","6C4D.20 - Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], consumo actual"
6C4D.21,"Dependencia de las drogas disociativas, incluidas la ketamina o la fenciclidina [PCP], remisión completa temprana","6C4D.21 - Dependencia de las drogas disociativas, incluidas la ketamina o la fenciclidina [PCP], remisión completa temprana"
6C4D.22,"Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], remisión parcial prolongada","6C4D.22 - Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], remisión parcial prolongada"
6C4D.23,"Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], remisión completa prolongada","6C4D.23 - Dependencia de las drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], remisión completa prolongada"
6C4D.2Z,"Dependencia de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación","6C4D.2Z - Dependencia de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación"
6C4D.3,"Intoxicación por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.3 - Intoxicación por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.4,"Delirium inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.4 - Delirium inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.5,"Trastorno psicótico inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.5 - Trastorno psicótico inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.6,"Ciertos trastornos mentales o del comportamiento inducidos por fármacos disociativos especificados, incluidas la ketamina y la fenciclidina [PCP]","6C4D.6 - Ciertos trastornos mentales o del comportamiento inducidos por fármacos disociativos especificados, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.60,"Trastorno del estado de ánimo inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.60 - Trastorno del estado de ánimo inducido por drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.61,"Trastorno de ansiedad inducido por drogas disociativas, incluidas la ketamina o la fenciclidina [PCP]","6C4D.61 - Trastorno de ansiedad inducido por drogas disociativas, incluidas la ketamina o la fenciclidina [PCP]"
6C4D.Y,"Otros trastornos especificados debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]","6C4D.Y - Otros trastornos especificados debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP]"
6C4D.Z,"Trastornos especificados debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación","6C4D.Z - Trastornos especificados debidos al uso de drogas disociativas, incluidas la ketamina y la fenciclidina [PCP], sin especificación"
6C4E,"Trastornos debidos al uso de otras sustancias psicoactivas especificadas, incluidos los medicamentos","6C4E - Trastornos debidos al uso de otras sustancias psicoactivas especificadas, incluidos los medicamentos"
