code,description,label
6C49.10,"Patrón nocivo de uso de alucinógenos, episódico","6C49.10 - Patrón nocivo de uso de alucinógenos, episódico"
6C49.11,"Patrón nocivo de uso de alucinógenos, continuo","6C49.11 - Patrón nocivo de uso de alucinógenos, continuo"
6C49.1Z,"Patrón nocivo de uso de alucinógenos, sin especificación","6C49.1Z - Patrón nocivo de uso de alucinógenos, sin especificación"
6C49.2,Dependencia de los alucinógenos,6C49.2 - Dependencia de los alucinógenos
6C49.20,"Dependencia de los alucinógenos, uso actual","6C49.20 - Dependencia de los alucinógenos, uso actual"
6C49.21,"Dependencia de los alucinógenos, remisión completa temprana","6C49.21 - Dependencia de los alucinógenos, remisión completa temprana"
6C49.22,"Dependencia de los alucinógenos, remisión parcial prolongada","6C49.22 - Dependencia de los alucinógenos, remisión parcial prolongada"
6C49.23,"Dependencia de los alucinógenos, remisión completa prolongada","6C49.23 - Dependencia de los alucinógenos, remisión completa prolongada"
6C49.2Z,"Dependencia de los alucinógenos, sin especificación","6C49.2Z - Dependencia de los alucinógenos, sin especificación"
6C49.3,Intoxicación por alucinógenos,6C49.3 - Intoxicación por alucinógenos
6C49.4,Delirium inducido por alucinógenos,6C49.4 - Delirium inducido por alucinógenos
6C49.5,Trastorno psicótico inducido por alucinógenos,6C49.5 - Trastorno psicótico inducido por alucinógenos
6C49.6,Ciertos trastornos mentales o del comportamiento especificados inducidos por alucinógenos,6C49.6 - Ciertos trastornos mentales o del comportamiento especificados inducidos por alucinógenos
6C49.60,Trastorno del estado de ánimo inducido por alucinógenos,6C49.60 - Trastorno del estado de ánimo inducido por alucinógenos
6C49.61,Trastorno de ansiedad inducido por alucinógenos,6C49.61 - Trastorno de ansiedad inducido por alucinógenos
6C49.Y,Otros trastornos especificados debidos al uso de alucinógenos,6C49.Y - Otros trastornos especificados debidos al uso de alucinógenos
6C49.Z,"Trastornos debidos al uso de alucinógenos, sin especificación","6C49.Z - Trastornos debidos al uso de alucinógenos, sin especificación"
6C4A,Trastornos debidos al uso de nicotina,6C4A - Trastornos debidos al uso de nicotina
6C4A.0,Episodio de uso nocivo de nicotina,6C4A.0 - Episodio de uso nocivo de nicotina
6C4A.1,Patrón nocivo de uso de nicotina,6C4A.1 - Patrón nocivo de uso de nicotina
6C4A.10,"Patrón nocivo de uso de nicotina, episódico","6C4A.10 - Patrón nocivo de uso de nicotina, episódico"
6C4A.11,"Patrón nocivo de uso de nicotina, continuo","6C4A.11 - Patrón nocivo de uso de nicotina, continuo"
6C4A.1Z,"Patrón nocivo de uso de nicotina, sin especificación","6C4A.1Z - Patrón nocivo de uso de nicotina, sin especificación"
6C4A.2,Dependencia de la nicotina,6C4A.2 - Dependencia de la nicotina
6C4A.20,"Dependencia de la nicotina, consumo actual","6C4A.20 - Dependencia de la nicotina, consumo actual"
6C4A.21,"Dependencia de la nicotina, remisión completa temprana","6C4A.21 - Dependencia de la nicotina, remisión completa temprana"
6C4A.22,"Dependencia de la nicotina, remisión parcial prolongada","6C4A.22 - Dependencia de la nicotina, remisión parcial prolongada"
6C4A.23,"Dependencia de la nicotina, remisión completa prolongada","6C4A.23 - Dependencia de la nicotina, remisión completa prolongada"
6C4A.2Z,"Dependencia de la nicotina, sin especificación","6C4A.2Z - Dependencia de la nicotina, sin especificación"
6C4A.3,Intoxicación por nicotina,6C4A.3 - Intoxicación por nicotina
6C4A.4,Síndrome de abstinencia de la nicotina,6C4A.4 - Síndrome de abstinencia de la nicotina
6C4A.Y,Otros trastornos especificados debidos al uso de nicotina,6C4A.Y - Otros trastornos especificados debidos al uso de nicotina
6C4A.Z,"Trastornos debidos al uso de nicotina, sin especificación","6C4A.Z - Trastornos debidos al uso de nicotina, sin especificación"
6C4B,Trastornos debidos al uso de inhalantes volátiles,6C4B - Trastornos debidos al uso de inhalantes volátiles
6C4B.0,Episodio de uso nocivo de inhalantes volátiles,6C4B.0 - Episodio de uso nocivo de inhalantes volátiles
6C4B.1,Patrón nocivo de uso de inhalantes volátiles,6C4B.1 - Patrón nocivo de uso de inhalantes volátiles
6C4B.10,"Patrón nocivo de uso de inhalantes volátiles, episódico","6C4B.10 - Patrón nocivo de uso de inhalantes volátiles, episódico"
6C4B.11,"Patrón nocivo de uso de inhalantes volátiles, continuo","6C4B.11 - Patrón nocivo de uso de inhalantes volátiles, continuo"
6C4B.1Z,"Patrón nocivo de uso de inhalantes volátiles, sin especificación","6C4B.1Z - Patrón nocivo de uso de inhalantes volátiles, sin especificación"
6C4B.2,Dependencia de los inhalantes volátiles,6C4B.2 - Dependencia de los inhalantes volátiles
6C4B.20,"Dependencia de los inhalantes volátiles, uso actual","6C4B.20 - Dependencia de los inhalantes volátiles, uso actual"
6C4B.21,"Dependencia de los inhalantes volátiles, remisión completa temprana","6C4B.21 - Dependencia de los inhalantes volátiles, remisión completa temprana"
6C4B.22,"Dependencia de los inhalantes volátiles, remisión parcial prolongada","6C4B.22 - Dependencia de los inhalantes volátiles, remisión parcial prolongada"
6C4B.23,"Dependencia de los inhalantes volátiles, remisión completa prolongada","6C4B.23 - Dependencia de los inhalantes volátiles, remisión completa prolongada"
6C4B.2Z,"Dependencia de los inhalantes volátiles, sin especificación","6C4B.2Z - Dependencia de los inhalantes volátiles, sin especificación"
6C4B.3,Intoxicación por inhalantes volátiles,6C4B.3 - Intoxicación por inhalantes volátiles
6C4B.4,Síndrome de abstinencia de los inhalantes volátiles,6C4B.4 - Síndrome de abstinencia de los inhalantes volátiles
6C4B.5,Delirium inducido por inhalantes volátiles,6C4B.5 - Delirium inducido por inhalantes volátiles
6C4B.6,Trastorno psicótico inducido por inhalantes volátiles,6C4B.6 - Trastorno psicótico inducido por inhalantes volátiles
6C4B.7,Ciertos trastornos mentales o del comportamiento especificados inducidos por inhalantes volátiles,6C4B.7 - Ciertos trastornos mentales o del comportamiento especificados inducidos por inhalantes volátiles
6C4B.70,Trastorno del estado de ánimo inducido por inhalantes volátiles,6C4B.70 - Trastorno del estado de ánimo inducido por inhalantes volátiles
6C4B.71,Trastorno de ansiedad inducido por inhalantes volátiles,6C4B.71 - Trastorno de ansiedad inducido por inhalantes volátiles
6C4B.Y,Otros trastornos especificados debidos a los inhalantes volátiles,6C4B.Y - Otros trastornos especificados debidos a los inhalantes volátiles
6C4B.Z,"Trastornos debidos al uso de inhalantes volátiles, sin especificación","6C4B.Z - Trastornos debidos al uso de inhalantes volátiles, sin especificación"
6C4C,"Trastornos debidos al uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C - Trastornos debidos al uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.0,"Episodio de uso nocivo de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.0 - Episodio de uso nocivo de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.1,"Patrón nocivo de uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA","6C4C.1 - Patrón nocivo de uso de MDMA [metilendioximetanfetamina] o drogas relacionadas, incluida la MDA"
6C4C.10,"Uso nocivo de MDMA o drogas relacionadas, incluida la MDA, episodio","6C4C.10 - Uso nocivo de MDMA o drogas relacionadas, incluida la MDA, episodio"
6C4C.11,"Uso nocivo de MDMA o drogas relacionadas, incluida la MDA, continuo","6C4C.11 - Uso nocivo de MDMA o drogas relacionadas, incluida la MDA, continuo"
